job_id,resume_id,skills_score,degrees_score,majors_score,jacard_score,title_score,overall_score
4287,4287,0.5410012007,0.5,0,0.5929554,-0.0031781867,0.3949621479494785
4287,4288,0.5834401846,0.5,0,0.5672535,0.0841681,0.41222220127265924
4287,4289,0.3472537398,0.5,0,0.5703435,0.0765289,0.3445319096860272
4287,4290,0.3993352354,0.5,0,0.49919507,0.032423683,0.33278347020858773
4287,4291,0.2986165881,0.5,0,0.3115397,0.05542878,0.2536773394216253
4287,4292,0.4833103418,0.5,0,0.5233165,0.0765289,0.36996894115911944
4287,4293,0.5276856422,0.5,0,0.705676,0.05132684,0.43115002341420505
4287,4294,0.4924697578,0.5,0,0.69050956,0.1346716,0.42866146138869493
4288,4287,0.8290367723,0.5,0,0.46524367,0.21463814,0.47188557472944115
4288,4288,0.8545912504,0.5,0,0.65840065,0.22470397,0.5358125397081185
4288,4289,0.724552989,0.5,0,0.57723486,0.17109239,0.4678097282119925
4288,4290,0.7739334106,0.5,0,0.54656374,0.14860684,0.4699430210122532
4288,4291,0.6219499111,0.5,0,0.31871754,0.056967087,0.34832885541584657
4288,4292,0.8090988398,0.5,0,0.6063268,0.17109239,0.5002776725066388
4288,4293,0.8037097454,0.5,0,0.5415795,0.19302213,0.48337151322843014
4288,4294,0.7927138805,0.5,0,0.7243095,0.13913171,0.5247397827139358
4289,4287,0.7508741021,0.5,0,0.6901517,0.06331673,0.49219547424551
4289,4288,0.7075839043,0.5,0,0.68330693,0.1025928,0.48348206814807526
4289,4289,0.6513866186,0.5,0,0.6693952,0.018517017,0.45144009589743306
4289,4290,0.6439591646,0.5,0,0.53587043,0.060889408,0.4172212289856801
4289,4291,0.5128401518,0.5,0,0.34580508,0.09226674,0.329936742786363
4289,4292,0.7124111056,0.5,0,0.6542096,0.018517017,0.4645369223092285
4289,4293,0.7685396671,0.5,0,0.7265485,0.06977615,0.5085646382315635
4289,4294,0.6962939501,0.5,0,0.69291246,0.092277676,0.4815272135448612
4290,4287,0.4773862362,0.5,0.5,0.26710966,0.1370701,0.3751517002097951
4290,4288,0.5148903131,0.5,0.5,0.38407528,0.21887323,0.43097206097307084
4290,4289,0.4970138669,0.5,0.5,0.31643206,0.104554854,0.39020667225082517
4290,4290,0.6895208359,0.5,0.5,0.4148947,0.03824014,0.4638673157631475
4290,4291,0.5188776851,0.5,0.5,0.2578162,0.021937441,0.36790360032239444
4290,4292,0.4947346747,0.5,0.5,0.3507156,0.104554854,0.39935077407754555
4290,4293,0.548476994,0.5,0.5,0.33851862,0.2194145,0.4276293899224265
4290,4294,0.5983166099,0.5,0,0.66433156,0.048367612,0.4390948489424167
4291,4287,0.3833712041,0,0.5,0.21926585,0.18341419,0.2698126137148616
4291,4288,0.3638825417,0,0.5,0.33256912,0.12104835,0.2877073830916185
4291,4289,0.6164826155,0,0.5,0.3247813,0.19209078,0.3678026582596719
4291,4290,0.5301460028,0,0.5,0.32400614,0.13696839,0.33503895360252184
4291,4291,0.6775077581,0,0.5,0.520295,0.15910178,0.4363867640379403
4291,4292,0.4000695348,0,0.5,0.22028442,0.19209078,0.27611409766945016
4291,4293,0.4797614217,0,0.5,0.39401805,0.18733263,0.3478416545106341
4291,4294,0.4903644323,0,0,0.5229696,0.17609465,0.3146803889856079
4292,4287,0.6693334579,0.5,0,0.47969657,0.37617034,0.45346148523629065
4292,4288,0.6985900402,0.5,0,0.6077521,0.2862797,0.48556627971588007
4292,4289,0.7548122406,0.5,0,0.5586052,0.25309104,0.48284655809385724
4292,4290,0.7121059895,0.5,0,0.540879,0.19049944,0.4566384915919854
4292,4291,0.6256574988,0.5,0,0.40386885,0.12918466,0.3840339098553545
4292,4292,0.6655533314,0.5,0,0.5293938,0.25309104,0.4489978977683166
4292,4293,0.7642613053,0.5,0,0.5673076,0.3277054,0.4986918866542415
4292,4294,0.7180720568,0.5,0,0.8030975,0.120336436,0.5232393603324528
4293,4287,0.7665083408,0.5,0.5,0.64515376,0.22839183,0.578816575653267
4293,4288,0.7333083153,0.5,0.5,0.71735555,0.27454355,0.5965530404088192
4293,4289,0.8281546831,0.5,0.5,0.73157704,0.24602354,0.6236409970654803
4293,4290,0.7029021978,0.5,0.5,0.67417395,0.120361134,0.5535019189011254
4293,4291,0.5533268452,0.5,0.5,0.43087703,0.13099188,0.44277137518812865
4293,4292,0.6991948485,0.5,0.5,0.66615385,0.24602354,0.5681029898672747
4293,4293,0.8859223723,0.5,0.5,0.79009664,0.27408287,0.660874413580716
4293,4294,0.7718530893,0.5,0,0.630934,0.0681577,0.4819616973307029
4294,4287,0.5606818199,0.5,0,0.60637003,0.21917358,0.43618246912505626
4294,4288,0.6395850778,0.5,0,0.6891618,0.3543272,0.5016887017765626
4294,4289,0.4791228473,0.5,0,0.58867145,0.30826536,0.42055056350038933
4294,4290,0.5626249313,0.5,0,0.5857934,0.20790786,0.4292492100069397
4294,4291,0.6083507538,0.5,0,0.4361766,0.07513142,0.3805980171521292
4294,4292,0.5946718454,0.5,0,0.6195598,0.30826536,0.4623898139918601
4294,4293,0.6006051302,0.5,0,0.5575886,0.32553774,0.4488464508750357
4294,4294,0.6338668466,0.5,0,0.72917426,0.16840309,0.4849264706994307
