job_id,resume_id,skills_score,degrees_score,overall_score
4287,4559,0.600859,0.5,0,0.4254295
4288,4559,0.74844,0.5,0,0.49922
4289,4559,0.55246,0.5,0.5,0.52623
4290,4960,0.324303,0.5,0.5,0.4121515
4291,4960,0.399186,0,0.5,0.324593
4292,4960,0.334357,0.5,0,0.2921785
4293,4960,0.336512,0.5,0.5,0.41825599999999996
4294,4960,0.529369,0.5,0.5,0.5146845
4295,4960,0.305657,0.5,0.5,0.40282850000000003
4296,4960,0.588516,0.5,0.5,0.544258
4297,4960,0.305657,0.5,0.5,0.40282850000000003
4298,4960,0.722226,0.5,0,0.486113
4299,4960,0.417083,0,0.5,0.3335415
4300,5287,0.384944,0.5,0.5,0.442472
4301,5287,0.576115,0.5,0.5,0.5380575000000001
